t,x,y,z
0.005,4.9,4.4,0.099755
0.065,4.9,4.4,0.077705
0.125,4.902299,4.401863,0.062894
0.185,4.90585,4.405032,0.061454999999999996
0.25,4.905451,4.404662999999999,0.06149500000000001
0.31,4.898737000000001,4.397842,0.061403
0.37,4.892046,4.391106,0.06141799999999999
0.435,4.888107,4.386898,0.061398
0.5,4.88812,4.386887000000001,0.061416
0.56,4.888267,4.387245,0.061411
0.62,4.888279,4.387435,0.061417
0.68,4.888292,4.387642,0.061412
0.74,4.888278,4.387934,0.061413999999999996
0.805,4.888237,4.388354,0.061413999999999996
0.865,4.888192,4.388667,0.061416
0.93,4.888118,4.388861,0.06141
0.995,4.8880099999999995,4.389062,0.061412
1.06,4.8879019999999995,4.389372,0.061411
1.12,4.887795,4.389423000000001,0.061409000000000005
1.185,4.887703,4.389409,0.061407
1.245,4.887619,4.389501,0.061409000000000005
1.31,4.887521,4.389601,0.061409000000000005
1.37,4.887402,4.389804,0.061407
1.435,4.887273,4.389853,0.061411
1.495,4.88721,4.389838,0.061411
1.56,4.887093,4.389838,0.061412
1.62,4.886983,4.389872,0.061411
1.685,4.886869,4.38984,0.061413
1.745,4.883647,4.3925540000000005,0.06138099999999999
1.81,4.875088,4.400104,0.061398
1.87,4.866848,4.4073910000000005,0.061392999999999996
1.935,4.859287999999999,4.414079,0.061402
1.995,4.8529919999999995,4.419671,0.06139
2.055,4.845672,4.426136,0.061392999999999996
2.12,4.837347,4.433504,0.061399
2.18,4.830273,4.439719,0.061395000000000005
2.245,4.822875,4.446249,0.061395000000000005
2.305,4.815619,4.452674,0.061396000000000006
2.37,4.8076300000000005,4.4597430000000005,0.061399
2.435,4.7998959999999995,4.466591,0.061401
2.5,4.792312,4.473278,0.061399
2.565,4.784501000000001,4.480193,0.061394000000000004
2.63,4.776576,4.487183,0.061398
2.69,4.769438,4.493488,0.061396000000000006
2.755,4.763898999999999,4.49821,0.06140399999999999
2.82,4.762282,4.499031,0.06140399999999999
2.885,4.762823,4.4984660000000005,0.061401
2.95,4.762992,4.4983379999999995,0.0614
3.015,4.762968,4.498548,0.061411
3.075,4.763228,4.4982489999999995,0.061408000000000004
3.14,4.763380000000001,4.498112,0.061407
3.205,4.763404,4.498437,0.061413999999999996
3.27,4.763495,4.498708000000001,0.061411
3.335,4.7636,4.498849,0.061407
3.4,4.763684,4.49896,0.061411
3.46,4.763774,4.499026000000001,0.06141
3.525,4.763889,4.499159,0.061412
3.585,4.764012,4.4993620000000005,0.061413
3.65,4.76411,4.499413,0.061417
3.715,4.764194,4.499339,0.061409000000000005
3.78,4.764330999999999,4.4995389999999995,0.061409000000000005
3.845,4.7644720000000005,4.4996529999999995,0.061408000000000004
3.91,4.764551,4.499662,0.061412
3.97,4.767149,4.502572,0.061386
4.035,4.77396,4.511617,0.061398
4.1,4.7810440000000005,4.521024,0.061408000000000004
4.165,4.78677,4.528688,0.061403
4.23,4.792621,4.536436,0.061387
4.295,4.799369,4.545389,0.061401
4.36,4.805594,4.553049,0.061339
4.425,4.8099620000000005,4.554549,0.061384
4.485,4.814333,4.554724,0.061391999999999995
4.55,4.814902,4.551672,0.06141
4.61,4.810822,4.546803,0.061358
4.675,4.803089,4.536523000000001,0.061413999999999996
4.74,4.797624,4.528606,0.061404999999999994
4.805,4.796627,4.526593,0.0614
4.87,4.797436,4.527835,0.061399
4.935,4.79889,4.531185,0.061421
5.0,4.7983400000000005,4.531354,0.061407
5.065,4.797921,4.53037,0.061386
5.13,4.79799,4.531095,0.061392999999999996
5.195,4.79787,4.531756,0.061376
5.255,4.797753,4.531644,0.061394000000000004
5.32,4.79775,4.530583,0.061398
5.38,4.7977050000000006,4.530393,0.061399
5.445,4.797505,4.530853,0.061407
5.505,4.79746,4.530745,0.06141
5.57,4.797396,4.530675,0.061407
5.635,4.797271,4.530746,0.061409000000000005
5.7,4.797223000000001,4.530682,0.061413999999999996
5.765,4.797235,4.530566,0.061409000000000005
5.83,4.797094,4.530589,0.061411
5.895,4.796958,4.530608999999999,0.061413999999999996
5.96,4.796926,4.5305290000000005,0.061409000000000005
6.025,4.793108999999999,4.5332870000000005,0.061384
6.09,4.783591,4.539828,0.061403
6.15,4.774619,4.546046,0.061371
6.215,4.766334,4.55176,0.061386
6.275,4.759923000000001,4.554158999999999,0.061367
6.34,4.758281,4.550968,0.0614
6.405,4.764218,4.546189,0.06138
6.47,4.774719999999999,4.53889,0.061409000000000005
6.535,4.78229,4.534104,0.061403
6.6,4.783805,4.533556,0.061405999999999995
6.665,4.781806,4.5345699999999995,0.061411
