t,x,y,z
0.005,4.9,4.4,0.099755
0.065,4.9,4.4,0.077705
0.125,4.902299,4.401863,0.062894
0.185,4.90585,4.405032,0.061454999999999996
0.25,4.905451,4.404662999999999,0.06149500000000001
0.31,4.898737000000001,4.397842,0.061403
0.37,4.892046,4.391106,0.06141799999999999
0.435,4.884914,4.38393,0.061421
0.5,4.877539,4.376494999999999,0.061413999999999996
0.56,4.870914,4.369836,0.06141799999999999
0.62,4.866531,4.365668,0.061395000000000005
0.68,4.8662529999999995,4.3654839999999995,0.06141900000000001
0.74,4.866658,4.365692,0.061416
0.805,4.866812,4.365654,0.061411
0.865,4.867006,4.365664,0.061413999999999996
0.93,4.86726,4.365633,0.061413999999999996
0.995,4.867714,4.365583,0.061415
1.06,4.868361,4.36552,0.061413999999999996
1.12,4.868974,4.365449,0.061412
1.185,4.869549,4.365334,0.06141
1.245,4.869837,4.36525,0.061413
1.31,4.873568,4.364559,0.061391999999999995
1.37,4.882922,4.363698,0.061392999999999996
1.435,4.894476999999999,4.362704,0.061396000000000006
1.495,4.903938,4.361862,0.061404999999999994
1.56,4.913641,4.360999,0.061390999999999994
1.62,4.92351,4.360146,0.06139
1.685,4.934419,4.359179,0.06139
1.745,4.944033,4.358356,0.061388
1.81,4.9540120000000005,4.357485,0.061391999999999995
1.87,4.959482,4.357359,0.061399
1.935,4.960405000000001,4.357359,0.06135499999999999
1.995,4.959472,4.357444,0.061377999999999995
2.055,4.958418,4.357512,0.061385
2.12,4.9586,4.357533,0.061392999999999996
2.18,4.9591959999999995,4.357568,0.06139
2.245,4.959085,4.3576120000000005,0.061396000000000006
2.305,4.958526999999999,4.357608,0.061397
2.37,4.9585930000000005,4.357651000000001,0.061401
2.435,4.958806,4.357675,0.061405999999999995
2.5,4.958571,4.357691,0.061402
2.565,4.958549,4.357714,0.0614
2.63,4.958696,4.357749,0.06140399999999999
2.69,4.958631,4.357762999999999,0.061404999999999994
2.755,4.958586,4.35776,0.061402
2.82,4.958657,4.357783,0.061411
2.885,4.958574,4.35781,0.06140399999999999
2.95,4.958652,4.357871,0.061409000000000005
3.015,4.958658,4.3579,0.061407
3.075,4.9586760000000005,4.3579360000000005,0.061409000000000005
3.14,4.958722,4.357953,0.061405999999999995
3.205,4.958778,4.35797,0.061403
3.27,4.958786,4.358005,0.061404999999999994
3.335,4.958826999999999,4.358022,0.061402
3.4,4.958899,4.358067,0.061409000000000005
3.46,4.95896,4.35808,0.061407
3.525,4.9589300000000005,4.358068,0.061403
3.585,4.958908999999999,4.358084,0.061415
3.65,4.959061,4.358136,0.061409000000000005
3.715,4.959087,4.358152,0.061412
3.78,4.959033,4.358123,0.061407
3.845,4.959075,4.358157,0.061407
3.91,4.959112,4.3582089999999996,0.061408000000000004
3.97,4.959084,4.358223000000001,0.061404999999999994
4.035,4.959176,4.358324,0.06140399999999999
4.1,4.959137,4.358343,0.06141
4.165,4.9591650000000005,4.358357,0.06141
4.23,4.95919,4.358376,0.061413
4.295,4.959219999999999,4.358404,0.061409000000000005
4.36,4.9592160000000005,4.358425,0.061413
4.425,4.959208,4.358441,0.061415
4.485,4.959238,4.358459,0.061408000000000004
4.55,4.959282,4.358537,0.061413999999999996
4.61,4.959231,4.358526,0.061412
4.675,4.959238,4.35858,0.061412
4.74,4.959221,4.358605000000001,0.061409000000000005
4.805,4.959219,4.358667,0.06141
4.87,4.9592220000000005,4.358714,0.061413999999999996
4.935,4.959149,4.3586849999999995,0.061412
5.0,4.959181,4.358763,0.061409000000000005
5.065,4.959182,4.358793,0.06141
5.13,4.9591709999999996,4.358836,0.061413
5.195,4.959179,4.358906,0.06141
5.255,4.959169999999999,4.358956,0.061416
5.32,4.95916,4.3590089999999995,0.06141
5.38,4.959135,4.359061,0.06141
5.445,4.959161,4.35915,0.061413999999999996
5.505,4.959174,4.3591489999999995,0.061413999999999996
5.57,4.959128,4.359163,0.061411
5.635,4.959143,4.359272,0.061411
5.7,4.959122,4.359284,0.061411
5.765,4.959118,4.359361,0.061412
5.83,4.959095,4.359414,0.061412
5.895,4.959071,4.359466,0.061413999999999996
5.96,4.959062,4.359559,0.061411
6.025,4.959041,4.359624,0.061412
6.09,4.959009,4.359698000000001,0.061413
6.15,4.95903,4.359797,0.061416
6.215,4.959,4.359807,0.061411
6.275,4.958984,4.3598230000000004,0.061413999999999996
6.34,4.958993,4.359952,0.061413
6.405,4.958973,4.359968,0.061411
6.47,4.958963,4.36,0.061413
6.535,4.95895,4.360017,0.061405999999999995
6.6,4.958931,4.360130000000001,0.061405999999999995
6.665,4.958915,4.360196,0.061411
