t,x,y,z
0.005,4.9,4.4,0.099755
0.065,4.9,4.4,0.077705
0.125,4.902299,4.401863,0.062894
0.185,4.90585,4.405032,0.061454999999999996
0.25,4.905451,4.404662999999999,0.06149500000000001
0.31,4.898737000000001,4.397842,0.061403
0.37,4.892046,4.391106,0.06141799999999999
0.435,4.884914,4.38393,0.061421
0.5,4.877539,4.376494999999999,0.061413999999999996
0.56,4.870914,4.369836,0.06141799999999999
0.62,4.86417,4.363046,0.06142
0.68,4.85746,4.3563,0.061417
0.74,4.850754,4.349557,0.06142
0.805,4.843459999999999,4.342247,0.06141799999999999
0.865,4.836747,4.335501,0.06141900000000001
0.93,4.829492,4.328183999999999,0.06141799999999999
0.995,4.825039,4.323879,0.061397
1.06,4.824967,4.323805999999999,0.061421
1.12,4.825181,4.3238769999999995,0.061412
1.185,4.825238,4.3237559999999995,0.06141
1.245,4.825578,4.3238080000000005,0.061417
1.31,4.825655,4.323742,0.061413
1.37,4.825815,4.32369,0.061413
1.435,4.826042,4.323616,0.061412
1.495,4.826168,4.323561,0.061405999999999995
1.56,4.826287000000001,4.323489,0.061407
1.62,4.826411,4.323396,0.06141
1.685,4.826471,4.3232870000000005,0.061412
1.745,4.82646,4.3232029999999995,0.061408000000000004
1.81,4.8265720000000005,4.323064,0.061403
1.87,4.82673,4.322947,0.061404999999999994
1.935,4.826748,4.3228800000000005,0.061407
1.995,4.826830999999999,4.3227660000000006,0.061412
2.055,4.826897,4.322694,0.061411
2.12,4.8268889999999995,4.322588,0.061413999999999996
2.18,4.826869,4.322526,0.061412
2.245,4.826865,4.32242,0.061413999999999996
2.305,4.829577,4.319355000000001,0.061384
2.37,4.837276,4.310956,0.061397
2.435,4.845289,4.302279,0.06140399999999999
2.5,4.851791,4.295236,0.061395000000000005
2.565,4.858383,4.288066000000001,0.061392999999999996
2.63,4.865773,4.28,0.0614
2.69,4.872463,4.272734,0.061401
2.755,4.879225,4.265372,0.061395000000000005
2.82,4.886147,4.257841,0.061396000000000006
2.885,4.893317,4.250035,0.061398
2.95,4.900311,4.2424029999999995,0.061401
3.015,4.907241,4.234857,0.061395000000000005
3.075,4.9137580000000005,4.227761,0.061394000000000004
3.14,4.920806,4.220097,0.061398
3.205,4.927788,4.212505,0.061395000000000005
3.27,4.934839,4.204818,0.0614
3.335,4.941814,4.197196,0.061395000000000005
3.4,4.94881,4.1895739999999995,0.061402
3.46,4.955317,4.1825209999999995,0.061397
3.525,4.962329,4.17485,0.061398
3.585,4.968824,4.167774,0.0614
3.65,4.975798,4.160185,0.061397
3.715,4.9828220000000005,4.152551,0.0614
3.78,4.989887,4.144906,0.061397
3.845,4.994793,4.139393,0.061407
3.91,4.995607,4.137818,0.061404999999999994
3.97,4.995065,4.138335,0.061391999999999995
4.035,4.99489,4.138564,0.061397
4.1,4.995114,4.138584,0.06141
4.165,4.9948879999999996,4.138816,0.061411
4.23,4.994685,4.139022,0.06141
4.295,4.994904,4.1390720000000005,0.061413
4.36,4.995019999999999,4.139167,0.061413999999999996
4.425,4.99501,4.139283,0.061413999999999996
4.485,4.995094,4.139386,0.061411
4.55,4.9951669999999995,4.139517,0.061411
4.61,4.995245,4.139614,0.061402
4.675,4.9955680000000005,4.139719,0.061403
4.74,4.995586,4.139808,0.061407
4.805,4.995652,4.139933,0.061408000000000004
4.87,4.99564,4.140021,0.06141900000000001
4.935,4.9956190000000005,4.140096,0.061412
5.0,4.995736,4.140282,0.061412
5.065,4.995699,4.140368,0.061409000000000005
5.13,4.995674,4.140479,0.061413
5.195,4.998883999999999,4.144083,0.061386
5.255,5.006181,4.151837,0.061399
5.32,5.014352,4.160508999999999,0.06138
5.38,5.020614,4.16719,0.061402
5.445,5.026885,4.173863,0.061390999999999994
5.505,5.033704,4.181107,0.061394000000000004
5.57,5.041301,4.1891989999999995,0.061403
5.635,5.048126,4.196477,0.061398
5.7,5.054995,4.203777,0.061396000000000006
5.765,5.062297,4.211563,0.061402
5.83,5.069489,4.2192110000000005,0.061396000000000006
5.895,5.076469,4.226644,0.061398
5.96,5.083532,4.234173999999999,0.061397
6.025,5.090732,4.2418309999999995,0.061398
6.09,5.0978330000000005,4.249414,0.061399
6.15,5.104319,4.256325,0.0614
6.215,5.1114180000000005,4.26387,0.061399
6.275,5.118012,4.270914,0.061399
6.34,5.125075,4.278467,0.061399
6.405,5.132111,4.285952,0.061397
6.47,5.139279,4.293573,0.061399
6.535,5.1464099999999995,4.301181,0.061403
6.6,5.153442,4.308678,0.0614
6.665,5.160517,4.316225,0.061397
6.73,5.1676779999999995,4.323876,0.061396000000000006
